"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","所有参数正确，修改成功","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestUpdateUserInfo","test_update_user_info","",""
"","98","12位手机号，其他参数正确修改失败","test_cases","Tue Jan 27 17:20:42 CST 2026","failed","Tue Jan 27 17:20:42 CST 2026","TestUpdateUserInfo","test_update_user_info","",""
"","82","username少参登录失败","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","167","全部参数正确登录成功","test_cases","Tue Jan 27 17:20:40 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","67","phone为空其他参数正确修改失败","test_cases","Tue Jan 27 17:20:41 CST 2026","failed","Tue Jan 27 17:20:42 CST 2026","TestUpdateUserInfo","test_update_user_info","",""
"","109","username参数错误登录失败","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","67","password为空其他数据正确登录失败","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","147","phone中含有字母其他参数正确修改失败","test_cases","Tue Jan 27 17:20:42 CST 2026","failed","Tue Jan 27 17:20:42 CST 2026","TestUpdateUserInfo","test_update_user_info","",""
"","59","username为空其他数据正确登录失败","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","65","用户名密码不匹配登录失败","test_cases","Tue Jan 27 17:20:41 CST 2026","passed","Tue Jan 27 17:20:41 CST 2026","TestLogin","test_login","",""
"","137","email为空其他参数正确修改失败","test_cases","Tue Jan 27 17:20:42 CST 2026","passed","Tue Jan 27 17:20:42 CST 2026","TestUpdateUserInfo","test_update_user_info","",""
